LoanAccount,Max_OverdueAmount,Total_Paid,Total_Scheduled,Min_Outstanding,Has_Early_Overdue
L000220218C2726ED5393E2B2A439F900,14228.0,16828.0,16828.0,0.0,1
L00032CFC4CDE64256AF4FBA41FC7BE98,0.0,56175.0,56175.0,0.0,0
L0006BF5E033739DC8781F8EA4E97059C,600.0,14189.0,14189.0,0.0,1
L000731094C92E1387BFEBD151F8C3DB5,5468.0,15368.0,15368.0,0.0,1
L000842537003BD682ABACCFC2706A20D,14027.0,18527.0,18527.0,0.0,1
L0009AEF6FE7663D23B8B1B9E5B920746,6279.0,5500.0,11779.0,6116.0,1
L000B3AD174DE08FF238F5A82491B613A,0.0,18011.0,18011.0,0.0,0
L000C78358D5DAC71A7CD6EBE1C835269,0.0,17424.0,17424.0,0.0,0
L0011076C91C2ECC484C129B6FEE709CC,0.0,11833.0,11833.0,0.0,0
L00126CB13432EA7487C9530B04F88182,0.0,51184.0,51184.0,0.0,0
L0014222888C8C3CF8D9B271331A148C3,0.0,23314.0,23314.0,0.0,0
L001425725589BBE99F9841163AFC9CC7,0.0,11945.0,11945.0,0.0,0
L0014D2F4EC2A1F46128FE8448799467E,0.0,50273.0,50273.0,0.0,0
L001BB847C590FEAF3CC38E6DFDB2A1D2,6120.0,6000.0,12120.0,5817.0,1
L001C882FC40559732833AD1CD2CD3180,70154.0,24150.0,79004.0,54854.0,1
L001EC73B658FE7AB38499EF124D0BF68,0.0,28197.0,28197.0,0.0,0
L0021D82582344CE853123A8D772FEC9D,54391.0,2450.0,56841.0,54391.0,1
L002BE3383145A411827E31568C69EBE8,10499.0,4550.0,15049.0,10499.0,1
L002FE08A035261AB1DAEF11981F26CC9,8536.0,23536.0,23536.0,0.0,1
L003027B95FD2F0C0ECD160A65E77A150,0.0,11762.0,11762.0,0.0,0
L0030F2F7D47C0A2BAA88962210A05375,500.0,11830.0,11830.0,0.0,1
L003502069F6240256A57705B14755482,0.0,18594.0,18594.0,0.0,0
L0039D6A33A12FA85A1A5478F718F2E20,0.0,17215.0,17215.0,0.0,0
L003A4A6A77A8862E228393B147D9903B,0.0,40361.0,40361.0,0.0,0
L003D123FD9D04000A976D7A35F46C47C,0.0,17533.0,17533.0,0.0,0
L0040FF7569FD37D9E38BF57A966AEA09,0.0,28860.0,28860.0,0.0,0
L0043163E5E4704CCE06D48CA6DF8E0CE,0.0,26787.0,26787.0,0.0,0
L0043EC787777CA68FD956A35CE6BAD21,0.0,14132.0,14132.0,0.0,0
L004814621B3E8F068F3ABCC7941A6EF6,24669.0,5000.0,29669.0,23998.0,1
L00489BBFC61766E175A7FFC5C37CF641,0.0,11831.0,11831.0,0.0,0
L0049E4A5807CA2CABE5195ED061F04DC,0.0,17643.0,17643.0,0.0,0
L004C67D8770B254843D49A2940DCCD2F,0.0,33977.0,33977.0,0.0,0
L0050A1F2B72B5FFDCCD5DDCA59AF099C,0.0,28447.0,28447.0,0.0,0
L0050FA58B94BCB7764CE92859F8CD788,6788.0,5000.0,11788.0,6616.0,1
L0057EB78FDDD0AE8EB9E29802F22D2DD,0.0,52506.0,52506.0,0.0,0
L0057FD06D7A962ECAA606E4A251AA4EA,0.0,29201.0,29201.0,0.0,0
L005E0380E8B8EA20B3DE7147EF6D6933,0.0,23167.0,23167.0,0.0,0
L006073982D566162396635762A09CB99,3186.0,11686.0,11686.0,0.0,1
L00634329799F1FFF7830C75A473E4861,0.0,11533.0,11533.0,0.0,0
L006A5A8C5BCB7FF8FA41CEAB1108F6DD,0.0,45677.0,45677.0,0.0,0
L006A6829805DAF6592BD808B52D1D81F,0.0,55812.0,55812.0,0.0,0
L006C14DC58B5568184182B5C1C4D15B6,0.0,35302.0,35302.0,0.0,0
L006D45884CE4073BA8B3518E2E6E330D,9100.0,2500.0,11600.0,9100.0,1
L006ED343A6CE95AE246B8F0BE7F7DFA4,0.0,11645.0,11645.0,0.0,0
L006FC74EAEB6A0477748747DD961B7CC,25248.0,3750.0,28998.0,25248.0,1
L007481E76B7D0B84B1D239354A522F62,0.0,11788.0,11788.0,0.0,0
L00763E99530D14CC903807F1AA95C9D3,0.0,17653.0,17653.0,0.0,0
L00770FF2CE54830701462B678BF45EBB,16613.0,750.0,17363.0,16613.0,1
L0078BC57C60B175EAE1E007383B00ED1,0.0,29227.0,29227.0,0.0,0
L007ED6BED67AEB70FC88AE6051EE4F23,0.0,12785.0,12785.0,0.0,0
L0084725B7E536C917D05D934D6300CB7,0.0,11629.0,11629.0,0.0,0
L0085AADDF996B00C95582D1A4141A61F,53701.0,0.0,53701.0,52201.0,1
L008703DE7A29386CE6A2CBECFF13F04F,0.0,21224.0,21224.0,0.0,0
L00871608A34AC138E62A36C4B2E53B6E,0.0,27253.0,27253.0,0.0,0
L008B745A458A8F7700E51F00BB1AE5B8,0.0,11630.0,11630.0,0.0,0
L008BE9F21BA21F62A1CA146CD7E41E09,0.0,58422.0,58422.0,0.0,0
L008ED919BA964AE52DF1ECEAC7EF3974,7982.0,13500.0,21482.0,7756.0,1
L009043B3FDF3DB1C722F12F89EFABE84,0.0,51386.0,51386.0,0.0,0
L009087512828EAE775C16146565BD754,0.0,29457.0,29457.0,0.0,0
L0091D5EDB65878C5671576859CE85762,0.0,11704.0,11704.0,0.0,0
L0092860C7A945DB76CB384362E11E690,0.0,11562.0,11562.0,0.0,0
L0092D2DD50175034000AC2681078B1B7,14624.0,5100.0,19724.0,14624.0,1
L00978398F0E09501F12D8496D9C17F57,0.0,11904.0,11904.0,0.0,0
L009C151B3E5F191B20BC0C8C6ED1B9DF,0.0,14515.0,14515.0,0.0,0
L009F5B4D58CC2DCDE91E6B6E7CEE886F,3543.0,6000.0,9543.0,3445.0,1
L00A2245DB0A2A8B1506C3E9A520E9CA5,0.0,47089.0,47089.0,0.0,0
L00A54CE00949DDE665866E139303C4B0,0.0,7811.0,7811.0,0.0,0
L00ACA9EC556419F320FEC3AE03968291,0.0,14049.0,14049.0,0.0,0
L00AF99568BF50C8B533DCE24813E96A2,900.0,21148.0,21148.0,0.0,1
L00B149C6A7EDE1A837FCD2B5C8BCEF81,29932.0,8000.0,37932.0,29123.0,1
L00B18B106B53DF6A0692DA3D5598BFC5,3461.0,8500.0,11961.0,3320.0,1
L00B395B0829E4382C57C27746AF74F13,0.0,11717.0,11717.0,0.0,0
L00B6EFDD493609A7F5CB1D74A2D8109A,7259.0,4500.0,11759.0,7152.0,1
L00B96FFC2586B85EBB3E6739F16DC571,0.0,21356.0,21356.0,0.0,0
L00B9989E95D9CE0D4D573AC00F8B6B3F,0.0,11741.0,11741.0,0.0,0
L00BA4ED13E0F0DFB9034C40F86F28B11,1150.0,26812.0,26812.0,0.0,1
L00BABD158C2B4EE2FFC78BD84993CA9B,3458.0,8500.0,11958.0,3320.0,1
L00BBB3C36BE6D2B3CBE0AFEA976EDEA1,0.0,35134.0,35134.0,0.0,0
L00BC679450A63AE3E1229B67B6CDE781,23565.0,37065.0,37065.0,0.0,1
L00BDE9DFE5BB555838D22B1E045E1708,0.0,26436.0,26436.0,0.0,0
L00BEFA0F8EF7E5FB0F246480CCD72C5F,0.0,9447.0,9447.0,0.0,0
L00BFA7D018EED89F0F549C72156B61A3,0.0,11767.0,11767.0,0.0,0
L00C1007306F9FC9EE9C9B6EEBBD28CC3,0.0,29132.0,29132.0,0.0,0
L00C111088D0A0A23F149BA77F3D70A16,0.0,29482.0,29482.0,0.0,0
L00C3F62B7C1BD26E8E2DF24070A2528C,0.0,52796.0,52796.0,0.0,0
L00CC39E53DE7F5B4B71FE6C4D13222D2,0.0,10165.0,10165.0,0.0,0
L00CD2A34E90828A7471957C4A339EF65,0.0,17234.0,17234.0,0.0,0
L00CE90CC3C829C2AF7183FF0DE3A36E7,0.0,24559.0,24559.0,0.0,0
L00D43CDB49017A1677DAE1139EABFC51,0.0,23376.0,23376.0,0.0,0
L00DAAE5C009CFD0E68E63ED385B2C6CB,15900.0,1500.0,17400.0,15900.0,1
L00DE7F87433AF638AB02619F972E94D7,0.0,14085.0,14085.0,0.0,0
L00DF012F5A667781C230E46A2A8B6928,0.0,11876.0,11876.0,0.0,0
L00E456D1C9B59008224234098C9091BA,0.0,50942.0,50942.0,0.0,0
L00E49DA7D302FE888B374486CC651C1E,6753.0,5000.0,11753.0,6654.0,1
